score,title,source_kind,docs_type,hit_count,category_count,categories,matched_queries,url,raw_status,reasons
21.8,HR常见问题及解决方案总览,docs,docx,5,2,社保公积金 | 薪资个税,五险一金 | 发薪 | 工资 | 社保 | 薪资,https://www.feishu.cn/docx/B0zBdIpZuo2M3nxDYbtcwAcLnze,,覆盖类别 2 | 命中次数 5 | 可读取正文 | 正文强信号 4
20.5,A05.SAP HR薪酬管理操作概述,wiki,8,8,2,社保公积金 | 薪资个税,个税 | 五险一金 | 公积金 | 发薪 | 工资 | 社保 | 社保缴纳 | 薪资,https://my-ichery.feishu.cn/wiki/WGYowyekxim4HAkl6dBcPA77nch,,覆盖类别 2 | 命中次数 8 | 知识库来源
20.0,当年度累计薪资数据导入指南1,wiki,8,6,2,社保公积金 | 薪资个税,个税 | 公积金 | 工资 | 社保 | 社保缴纳 | 薪资,https://my-ichery.feishu.cn/wiki/F4Viwyzc4iJI01kpi8VcVQo2nSb,,覆盖类别 2 | 命中次数 6 | 标题强信号 1 | 知识库来源
19.0,当年度累计薪资数据导入2,wiki,8,7,2,社保公积金 | 薪资个税,个税 | 五险一金 | 公积金 | 工资 | 社保 | 社保缴纳 | 薪资,https://my-ichery.feishu.cn/wiki/JipuwlrI6iZ8yXkASoOcO1vlnPg,,覆盖类别 2 | 命中次数 7 | 知识库来源
18.5,要不要转？怎么转？社保公积金转移指南,wiki,8,4,1,社保公积金,五险一金 | 公积金 | 社保 | 社保缴纳,https://my-ichery.feishu.cn/wiki/BQe6w6INzidMJxkCuzTcQodWnFb,,覆盖类别 1 | 命中次数 4 | 标题强信号 3 | 知识库来源
17.0,26校招话术,docs,docx,5,2,社保公积金 | 薪资个税,五险一金 | 公积金 | 工资 | 社保 | 薪资,https://www.feishu.cn/docx/AxtydVGtXofBFPxCKJbczcbunHb,,覆盖类别 2 | 命中次数 5 | 可读取正文
16.0,EAM系统使用常见问题解决手册,docs,docx,1,1,薪资个税,工资,https://www.feishu.cn/docx/DdQHdC0Y6oKQI0xtQFUcfnKtnU5,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 可读取正文 | 正文强信号 5
15.1,补卡、请假申请流程及注意事项,docs,docx,2,1,薪资个税,工资 | 薪资,https://www.feishu.cn/docx/FP3zdceUio1HQAxSYqqcsYcTnXd,,覆盖类别 1 | 命中次数 2 | 标题强信号 1 | 可读取正文 | 正文强信号 3
11.5,2026年费用预提表-威蓝动力,wiki,2,2,2,社保公积金 | 薪资个税,工资 | 社保,https://my-ichery.feishu.cn/wiki/HXdNw8gx5iqvozkNRgOcnhpjnfe,,覆盖类别 2 | 命中次数 2 | 知识库来源
11.5,离职申请,docs,docx,2,1,薪资个税,工资 | 薪资,https://www.feishu.cn/docx/doxcnaJJUq5b0o5tRBcXF1sDXhb,,覆盖类别 1 | 命中次数 2 | 标题强信号 1 | 可读取正文
10.5,A04.SAP HR考勤管理操作概述,wiki,8,2,1,薪资个税,工资 | 薪资,https://my-ichery.feishu.cn/wiki/RXjVwwnFFiuQWtkPRtHcpogxntc,,覆盖类别 1 | 命中次数 2 | 标题强信号 1 | 知识库来源
9.0,A03.01.SAP HR操作指南-信息类型介绍,wiki,8,1,1,薪资个税,工资,https://my-ichery.feishu.cn/wiki/JIOkwEkFxiIykYk74EjcBMgynoh,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,A03.03.SAP HR操作指南-人事活动——入、转、调、离,wiki,8,1,1,薪资个税,发薪,https://my-ichery.feishu.cn/wiki/FTFQw6RWmip0Kxk7VctcCpfUnhe,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
9.0,C03-M-01整车产品开发手册C.0.pdf,wiki,5,1,1,薪资个税,税务申报,https://my-ichery.feishu.cn/wiki/QMBiwmavfiBx56kR6dicsTfDnve,,覆盖类别 1 | 命中次数 1 | 标题强信号 1 | 知识库来源
8.0,施工管理知识,wiki,8,2,1,薪资个税,工资 | 薪资,https://my-ichery.feishu.cn/wiki/HGapwvkiJiaZ9OkHpjpcrpLZnNJ,,覆盖类别 1 | 命中次数 2 | 知识库来源
8.0,员工管理制度,docs,docx,1,1,薪资个税,薪资,https://www.feishu.cn/docx/doxcng2WuNQoFwYt9IDn3iqXqUb,rate_limited,覆盖类别 1 | 命中次数 1 | 标题强信号 1
8.0,iChery学习手册,docs,docx,1,1,薪资个税,薪资,https://www.feishu.cn/docx/MQ0cdaWMeo4aODx2a4fcBKTfn8d,rate_limited,覆盖类别 1 | 命中次数 1 | 标题强信号 1
8.0,芜湖市紫云英“高校毕业生保险费补贴”政策申请指南,docs,docx,1,1,社保公积金,社保,https://www.feishu.cn/docx/WC60dxpgnojNm2xIL80cCC3pniV,rate_limited,覆盖类别 1 | 命中次数 1 | 标题强信号 1
8.0,新人必备指南,docs,docx,1,1,社保公积金,五险一金,https://www.feishu.cn/docx/U9LLdzGfioj4XjxNwSscJR15nTf,rate_limited,覆盖类别 1 | 命中次数 1 | 标题强信号 1
6.5,妨害清算的刑事风险,wiki,8,1,1,薪资个税,工资,https://my-ichery.feishu.cn/wiki/Z9Gjw0Ga6i9RsTkrMhGc9qAVnOg,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,A05.01.SAP HR历史薪资数据导入,wiki,8,1,1,薪资个税,薪资,https://my-ichery.feishu.cn/wiki/DAXjwEccditqDZk591zcuB1QnFd,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,A03.SAP HR人事管理操作概述,wiki,8,1,1,薪资个税,薪资,https://my-ichery.feishu.cn/wiki/VFp8wIbAki4NTUkN880cu4EQnjb,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,阶段性总结1（2025.12~2026.01）,wiki,8,1,1,薪资个税,薪资,https://my-ichery.feishu.cn/wiki/OnJEwiSDbipKrBkLizzcjsdUnjg,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,E2E集成治理,wiki,3,1,1,薪资个税,发薪,https://my-ichery.feishu.cn/wiki/XR6HwxTaaiAmcTkyJY1c4flTnzc,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,企业逃避缴纳税款的刑事风险,wiki,8,1,1,薪资个税,税务申报,https://my-ichery.feishu.cn/wiki/Z7oJwL2TjissWEkPBbrcsLL3nUb,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,DICT&AI&BI工程化日历2.0,wiki,2,1,1,薪资个税,税务申报,https://my-ichery.feishu.cn/wiki/DDbZwwqnSiGFfXkq1QqcF1Vzn3c,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,AU 澳大利亚 Australia,wiki,8,1,1,社保公积金,社保,https://my-ichery.feishu.cn/wiki/Ikx6wFsrViWZBPk2H1DcCFIpn9e,,覆盖类别 1 | 命中次数 1 | 知识库来源
6.5,SDC三期数据库设计.docx,wiki,5,1,1,社保公积金,社保,https://my-ichery.feishu.cn/wiki/VmM0wlpywipGrXk2O3IcxrXBn8g,,覆盖类别 1 | 命中次数 1 | 知识库来源
5.5,人形机器人产品企划,docs,docx,1,1,薪资个税,工资,https://www.feishu.cn/docx/XjC2d1w1ooRcj2xHGjcca2iInae,rate_limited,覆盖类别 1 | 命中次数 1
5.5,IP账号脚本—路遥,docs,docx,1,1,薪资个税,工资,https://www.feishu.cn/docx/POykdf4B7o2aOExHWhwczdXMnrg,rate_limited,覆盖类别 1 | 命中次数 1
