merged_score,title,batch_count,total_hit_count,category_count,query_count,avg_original_score,max_original_score,source_kinds,categories,matched_queries,url,downgrade_flags,reasons
94.5,HR常见问题及解决方案总览,7,29,12,28,19.51,26.3,docs,IT报修 | 入职 | 加班与调休 | 发票 | 差旅 | 报销 | 社保公积金 | 考勤 | 薪资个税 | 请假与假期 | 邮箱与应用 | 餐补福利,IT报修 | IT自助服务 | 五险一金 | 产假 | 休假 | 入职 | 出差 | 加班 | 发票 | 发薪 | 工资 | 年假 | 打卡 | 报销 | 报销标准 | 病假 | 社保 | 福利 | 考勤 | 薪资 | 补卡 | 补贴 | 请假 | 调休 | 费用报销 | 飞书应用 | 餐卡 | 餐费,https://www.feishu.cn/docx/B0zBdIpZuo2M3nxDYbtcwAcLnze,,跨批出现 7 | 覆盖类别 12 | 累计命中 29 | 标题强信号 1 | 可读取正文 | 正文强信号 3 | 查询覆盖 28
76.3,信息化指引手册,6,18,8,18,21.38,29.2,docs,IT报修 | 入职 | 密码与账号 | 差旅 | 报销 | 账号权限 | 邮箱与应用 | 餐补福利,IT报修 | IT自助服务 | 入职 | 出差 | 密码重置 | 开通权限 | 忘记密码 | 报销 | 报销标准 | 报销流程 | 权限开通 | 权限申请 | 电脑维修 | 福利 | 补贴 | 费用报销 | 邮箱申请 | 重置密码,https://www.feishu.cn/docx/Jh7TdpqyXoiSb8xVFEGcIX0wn0b,,跨批出现 6 | 覆盖类别 8 | 累计命中 18 | 标题强信号 2 | 可读取正文 | 正文强信号 3 | 查询覆盖 18
73.1,补卡、请假申请流程及注意事项,7,18,7,17,14.86,27.6,docs,IT报修 | 加班与调休 | 差旅 | 考勤 | 薪资个税 | 请假与假期 | 餐补福利,IT报修 | IT自助服务 | 产假 | 休假 | 出差 | 加班申请 | 婚假 | 工资 | 年假 | 打卡 | 病假 | 考勤 | 薪资 | 补卡 | 补贴 | 请假 | 调休,https://www.feishu.cn/docx/FP3zdceUio1HQAxSYqqcsYcTnXd,,跨批出现 7 | 覆盖类别 7 | 累计命中 18 | 标题强信号 2 | 可读取正文 | 正文强信号 1 | 查询覆盖 17
69.4,EAM系统使用常见问题解决手册,6,13,7,13,19.5,25.5,docs,IT报修 | 加班与调休 | 密码与账号 | 考勤 | 薪资个税 | 请假与假期 | 账号权限,IT报修 | IT故障报修 | 休假 | 修改密码 | 加班 | 工资 | 忘记密码 | 权限审批 | 电脑维修 | 系统权限 | 考勤 | 设备故障 | 账号权限,https://www.feishu.cn/docx/DdQHdC0Y6oKQI0xtQFUcfnKtnU5,,跨批出现 6 | 覆盖类别 7 | 累计命中 13 | 标题强信号 2 | 可读取正文 | 正文强信号 4 | 查询覆盖 13
45.7,iCAR 行政后勤服务手册,4,10,5,9,15.12,24.0,docs,IT报修 | 加班与调休 | 发票 | 差旅 | 报销,出差 | 加班 | 发票报销 | 发票申请 | 报销 | 报销流程 | 电子发票 | 设备故障 | 费用报销,https://www.feishu.cn/docx/H75vdwtHIo9u6px1gHtcXf2LnGh,,跨批出现 4 | 覆盖类别 5 | 累计命中 10 | 标题强信号 1 | 可读取正文 | 查询覆盖 9
42.1,《墨甲机器人出国管理规定》2024版(1),4,7,5,7,10.77,15.2,docs,差旅 | 报销 | 考勤 | 邮箱与应用 | 餐补福利,MFA | 差旅 | 差旅申请 | 报销流程 | 考勤 | 补贴 | 费用报销,https://www.feishu.cn/docx/YGkbdWbBno7ufjxg21RcgiBpnhc,,跨批出现 4 | 覆盖类别 5 | 累计命中 7 | 标题强信号 1 | 可读取正文 | 查询覆盖 7
41.6,费用&项目常见问题解答,3,12,4,11,12.17,17.5,wiki,发票 | 差旅 | 报销 | 餐补福利,出差审批 | 发票报销 | 发票申请 | 差旅报销 | 差旅标准 | 差旅申请 | 报销入口 | 报销标准 | 报销流程 | 补贴 | 费用报销,https://my-ichery.feishu.cn/wiki/SVtSwdU6RiiM0YkdpQ7ch0IwnNg,,跨批出现 3 | 覆盖类别 4 | 累计命中 12 | 标题强信号 1 | 包含知识库来源 | 查询覆盖 11
41.3,A04.SAP HR考勤管理操作概述,3,13,4,12,14.67,23.0,wiki,加班与调休 | 考勤 | 薪资个税 | 请假与假期,产假 | 休假 | 加班 | 婚假 | 工资 | 年假 | 打卡 | 病假 | 考勤 | 薪资 | 请假 | 调休,https://my-ichery.feishu.cn/wiki/RXjVwwnFFiuQWtkPRtHcpogxntc,,跨批出现 3 | 覆盖类别 4 | 累计命中 13 | 标题强信号 1 | 包含知识库来源 | 查询覆盖 12
40.4,开阳-行政服务,5,7,5,6,7.1,8.0,wiki,IT报修 | 加班与调休 | 密码与账号 | 考勤 | 餐补福利,IT故障报修 | IT自助服务 | 加班餐 | 忘记密码 | 补卡 | 餐卡,https://my-ichery.feishu.cn/wiki/NSbGwd0jCi4cdakMFwPcMG7cnme,,跨批出现 5 | 覆盖类别 5 | 累计命中 7 | 包含知识库来源 | 查询覆盖 6
39.7,信息化指南,4,5,5,5,12.05,18.6,docs,IT报修 | 入职 | 密码与账号 | 账号权限 | 邮箱与应用,IT报修 | 修改密码 | 入职 | 权限申请 | 系统账号,https://www.feishu.cn/docx/DeqcdXPnYoKorCx2F9FcqNmWnyc,,跨批出现 4 | 覆盖类别 5 | 累计命中 5 | 标题强信号 1 | 可读取正文 | 查询覆盖 5
39.5,国内差旅报销操作方法及注意事项,3,8,4,7,16.67,20.5,docs,发票 | 差旅 | 报销 | 餐补福利,发票 | 发票报销 | 差旅 | 差旅报销 | 差旅申请 | 报销 | 补贴,https://www.feishu.cn/docx/Cugedhbluo8SvpxA09ucGPkQn7f,,跨批出现 3 | 覆盖类别 4 | 累计命中 8 | 标题强信号 2 | 可读取正文 | 查询覆盖 7
